Mes;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde
2019M06;45,85;53,72;45,47;61,10;71,99;63,71;19,69;15,78;20,76;33,61;24,03;36,24;18,84;17,35;19,16;46,52;38,07;48,08;69,83;74,77;68,46;50,75;12,00;40,01
2019M05;47,44;54,32;42,84;59,20;73,40;47,07;12,76;7,99;14,16;25,09;18,00;27,16;18,78;27,42;17,43;47,03;63,82;44,44;60,86;54,79;63,47;59,54;12,16;49,86
2019M04;45,75;52,04;41,68;56,47;62,31;52,75;12,70;4,15;15,32;27,26;9,83;32,59;23,07;22,08;23,36;52,01;52,36;52,25;62,64;62,88;62,59;60,72;18,56;45,73
2019M03;38,93;46,43;33,65;54,61;70,51;39,35;8,59;10,20;8,10;18,62;16,04;19,38;18,91;15,34;19,63;50,66;39,70;52,75;62,04;63,12;61,72;70,73;19,20;55,23
2019M02;31,43;38,97;26,07;47,58;61,01;38,08;19,43;17,20;20,06;28,16;24,44;29,20;12,16;17,27;11,35;36,93;43,80;35,98;75,18;71,48;76,33;77,11;23,59;58,37
2019M01;55,66;77,60;48,61;32,02;49,24;18,60;12,82;10,08;13,58;30,34;18,98;33,41;5,32;2,49;5,90;14,21;1,38;16,50;65,74;67,79;65,16;74,34;21,52;57,24
2018M12;35,49;43,06;29,91;50,21;57,68;55,49;16,96;14,99;17,52;39,54;31,72;41,72;26,78;30,43;26,28;39,16;38,90;39,34;61,91;68,41;59,93;59,85;20,25;43,76
2018M11;43,51;52,77;37,15;61,62;71,94;54,56;17,64;14,39;18,55;34,10;27,32;36,00;22,58;26,68;21,99;57,63;65,61;56,52;57,31;63,40;55,47;60,03;20,10;44,07
2018M10;48,27;55,57;43,44;67,20;74,40;62,51;31,74;26,22;33,24;39,34;30,93;41,63;23,38;32,99;21,95;61,08;78,72;58,54;58,46;64,53;56,62;60,16;21,10;43,40
2018M09;55,47;63,22;49,98;67,26;71,06;64,51;22,77;13,55;25,26;38,36;24,83;42,01;21,80;23,09;21,59;52,19;60,25;50,97;59,71;61,06;59,40;58,92;16,47;45,78
2018M08;57,92;67,83;51,43;65,77;76,83;58,53;17,73;22,75;16,54;35,49;36,00;35,22;43,24;31,92;45,14;54,15;33,06;57,59;57,81;58,73;57,61;56,82;14,62;45,16
2018M07;45,44;53,79;39,97;60,12;70,50;53,38;15,06;17,44;14,46;31,00;38,31;29,16;27,82;24,49;28,47;50,93;46,85;51,78;60,05;62,04;59,44;57,30;20,65;36,65
2018M06;46,22;54,49;40,44;56,38;66,60;49,25;16,85;15,17;17,32;28,33;36,36;26,24;20,18;22,10;19,79;45,02;48,43;44,27;63,49;74,76;60,30;62,56;12,21;50,35
2018M05;45,38;52,27;40,52;58,20;70,11;49,81;18,99;11,78;20,74;37,81;26,05;40,67;17,03;22,28;16,23;48,30;69,97;45,10;60,18;75,05;56,53;58,49;18,70;43,58
2018M04;43,10;53,34;35,85;57,21;70,68;47,65;18,02;6,15;21,05;39,72;13,25;46,43;22,69;30,83;21,47;46,83;73,92;43,07;62,16;64,75;61,37;57,74;18,85;42,52
2018M03;39,84;47,12;34,07;57,80;70,55;47,71;11,03;2,64;13,11;22,64;2,08;27,73;21,94;21,48;21,92;44,21;44,81;43,96;61,81;65,32;60,74;62,83;19,08;47,42
2018M02;31,69;37,86;26,61;48,38;59,27;39,43;24,78;35,66;22,16;37,15;52,31;33,48;11,10;11,69;10,98;32,99;31,99;33,08;74,30;71,16;75,27;73,16;22,75;55,10
2018M01;24,84;30,06;20,26;33,82;44,28;24,64;15,48;25,53;13,18;34,50;39,35;33,38;7,66;8,02;7,60;22,21;22,12;22,25;68,36;68,59;68,31;70,72;22,18;53,10
2017M12;36,31;42,91;31,26;47,42;52,21;43,81;25,31;43,56;21,14;49,68;66,49;45,69;23,70;18,03;24,64;38,34;29,66;39,77;67,17;64,59;67,98;61,01;20,07;45,02
2017M11;39,74;49,42;32,67;61,99;76,43;51,47;22,89;35,97;19,80;32,87;42,01;30,88;14,97;10,08;15,72;47,05;31,68;49,34;60,26;65,32;58,72;60,15;19,09;44,94
2017M10;48,64;58,40;41,81;70,42;80,11;63,59;43,07;54,00;40,68;56,20;67,29;53,74;23,55;19,39;24,18;59,24;56,08;59,72;64,89;63,45;65,35;62,13;20,32;45,94
2017M09;58,07;71,34;48,98;68,00;77,70;61,40;32,10;40,96;30,09;50,44;64,95;47,11;21,83;15,77;22,67;45,49;37,79;46,56;58,38;75,64;54,14;60,47;18,93;45,33
2017M08;62,91;75,59;54,29;72,06;87,91;61,31;20,80;36,67;17,11;32,43;53,33;27,58;37,64;21,06;40,27;52,48;37,15;54,90;59,30;75,47;55,32;58,62;18,55;43,78
2017M07;48,18;62,92;38,24;62,14;79,44;50,46;19,47;38,34;15,39;39,77;76,36;31,91;22,00;14,34;23,26;42,11;27,44;44,48;63,92;75,28;60,17;62,65;25,59;37,05
2017M06;47,99;59,66;39,93;62,53;76,70;52,70;29,98;12,30;33,34;48,41;32,23;51,34;17,61;13,33;18,28;43,66;36,69;44,69;60,87;75,35;57,75;58,58;17,33;45,06
2017M05;45,13;59,36;35,45;61,43;80,29;48,48;18,18;7,54;20,23;36,51;22,15;39,16;16,95;13,95;17,46;47,74;37,88;49,39;56,09;60,63;54,69;56,60;18,98;41,23
2017M04;50,46;60,20;43,55;67,94;75,48;62,50;19,98;4,90;23,26;42,58;17,15;47,86;31,31;23,46;32,61;58,42;47,01;60,28;59,61;70,06;56,37;57,97;32,55;31,60
2017M03;38,54;47,82;31,15;58,22;69,97;48,87;9,95;0,99;11,80;17,17;1,24;20,48;15,40;12,00;16,00;43,28;39,27;43,96;61,32;66,04;59,88;63,19;19,50;47,40
2017M02;33,54;41,60;27,00;52,82;62,05;45,32;21,65;9,53;24,19;34,39;18,54;37,70;13,00;11,49;13,27;38,88;36,49;39,28;71,31;70,35;71,63;72,88;23,11;54,47
2017M01;27,23;37,19;18,76;37,20;53,13;23,63;14,92;6,37;16,78;32,88;14,33;36,88;6,22;4,45;6,57;16,41;11,74;17,33;64,88;68,87;63,68;68,62;23,82;49,64
2016M12;38,74;48,73;30,94;45,15;49,91;41,38;26,56;20,28;27,92;47,31;41,90;48,54;23,58;10,23;25,77;43,88;15,56;48,57;62,86;65,34;62,12;63,80;20,56;47,42
2016M11;38,10;50,79;28,81;61,21;79,02;48,08;24,05;20,36;24,56;38,62;32,65;39,44;15,06;7,48;16,28;47,38;27,01;50,56;57,19;61,42;55,92;60,35;20,54;43,98
2016M10;54,77;67,90;45,61;73,67;85,01;65,67;41,16;38,01;41,70;49,98;56,41;48,80;24,81;10,80;27,06;57,28;30,63;61,43;59,29;63,77;57,94;58,65;19,00;43,52
2016M09;55,96;69,74;46,59;69,93;82,37;61,47;34,14;28,44;35,14;45,28;40,63;46,09;18,11;8,59;19,66;41,04;23,22;43,92;59,43;61,48;58,81;58,85;18,34;44,00
2016M08;63,06;77,43;53,30;73,47;84,92;65,67;17,50;12,31;18,39;32,78;32,62;32,81;36,99;10,24;41,16;54,90;16,57;60,76;58,42;75,31;54,27;58,64;18,75;43,64
2016M07;51,96;67,25;41,30;65,11;77,60;56,54;17,38;14,87;17,85;36,35;42,63;35,14;18,85;7,19;20,69;36,31;13,25;39,91;63,04;75,25;59,32;62,75;26,34;36,41
